#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,,,#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,Dato,TRSY 10
Q3 2013,0.041,,,,11/1/93,3.12,,1991-07-01,5.28798
Q4 2013,0.03,,,,12/1/93,3.178,,1991-10-01,5.20883
Q1 2014,0.073,,,,1/1/94,3.095,,1992-01-01,5.20364
Q2 2014,0.041,,,,2/1/94,3.091,,1992-04-01,5.21305
Q3 2014,0.041,,,,3/1/94,3.457,,1992-07-01,5.10472
Q4 2014,0.018,,,,4/1/94,3.516,,1992-10-01,5.12292
Q1 2015,0.041,,,,5/1/94,4.012,,1993-01-01,5.0487
Q2 2015,0.038,,,,6/1/94,4.273,,1993-04-01,5.00458
Q3 2015,0.013,,,,7/1/94,4.291,,1993-07-01,4.94031
Q4 2015,-0.01,,,,8/1/94,4.384,,1993-10-01,4.94043
Q1 2016,0.178,,,,9/1/94,4.614,,1994-01-01,5.02151
Q2 2016,0.233,,,,10/1/94,4.84,,1994-04-01,5.17343
Q3 2016,0.259,,,,11/1/94,5.177,,1994-07-01,5.20651
Q4 2016,0.307,,,,12/1/94,5.706,,1994-10-01,5.27369
Q1 2017,0.502,,,,1/1/95,5.629,,1995-01-01,5.22588
Q2 2017,0.764,,,,2/1/95,5.937,,1995-04-01,5.10191
Q3 2017,1.026,,,,3/1/95,5.911,,1995-07-01,5.05999
Q4 2017,1.044,,,,4/1/95,5.87,,1995-10-01,4.98952
Q1 2018,1.391,,,,5/1/95,5.865,,1996-01-01,4.99154
Q2 2018,1.723,,,,6/1/95,5.664,,1996-04-01,5.11902
Q3 2018,1.935,,,,7/1/95,5.488,,1996-07-01,5.12819
Q4 2018,2.206,,,,8/1/95,5.596,,1996-10-01,5.06393
Q1 2019,2.381,,,,9/1/95,5.413,,1997-01-01,5.09687
Q2 2019,2.392,,,,10/1/95,5.416,,1997-04-01,5.11687
Q3 2019,2.125,,,,11/1/95,5.472,,1997-07-01,5.04614
Q4 2019,1.826,,,,12/1/95,5.437,,1997-10-01,4.99083
Q1 2020,1.556,,,,1/1/96,4.988,,1998-01-01,4.93597
Q2 2020,0.074,,,,2/1/96,5.002,,1998-04-01,4.93633
Q3 2020,0.142,,,,3/1/96,4.953,,1998-07-01,4.86488
Q4 2020,0.091,,,,4/1/96,5.119,,1998-10-01,4.75424
Q1 2021,0.079,,,,5/1/96,5.082,,1999-01-01,4.82441
,,,,,6/1/96,5.203,,1999-04-01,4.92703
,,,,,7/1/96,5.179,,1999-07-01,4.98687
,,,,,8/1/96,5.227,,1999-10-01,5.03042
,,,,,9/1/96,5.21,,2000-01-01,5.08174
,,,,,10/1/96,5.05,,2000-04-01,5.03693
,,,,,11/1/96,5.152,,2000-07-01,4.98804
,,,,,12/1/96,5.058,,2000-10-01,4.93232
,,,,,1/1/97,5.1,,2001-01-01,4.83305
,,,,,2/1/97,5.086,,2001-04-01,4.87802
,,,,,3/1/97,5.229,,2001-07-01,4.8234
,,,,,4/1/97,5.298,,2001-10-01,4.7755
,,,,,5/1/97,5.206,,2002-01-01,4.83996
,,,,,6/1/97,4.954,,2002-04-01,4.84525
,,,,,7/1/97,5.229,,2002-07-01,4.66697
,,,,,8/1/97,5.256,,2002-10-01,4.60231
,,,,,9/1/97,5.129,,2003-01-01,4.5809
,,,,,10/1/97,5.094,,2003-04-01,4.50146
,,,,,11/1/97,5.235,,2003-07-01,4.65646
,,,,,12/1/97,5.237,,2003-10-01,4.66997
,,,,,1/1/98,5.263,,2004-01-01,4.6036
,,,,,2/1/98,5.211,,2004-04-01,4.74024
,,,,,3/1/98,5.25,,2004-07-01,4.67375
,,,,,4/1/98,5.102,,2004-10-01,4.64412
,,,,,5/1/98,4.885,,2005-01-01,4.67426
,,,,,6/1/98,4.969,,2005-04-01,4.63999
,,,,,7/1/98,5.03,,2005-07-01,4.6535
,,,,,8/1/98,5.099,,2005-10-01,4.71626
,,,,,9/1/98,4.896,,2006-01-01,4.73588
,,,,,10/1/98,4.125,,2006-04-01,4.83868
,,,,,11/1/98,4.409,,2006-07-01,4.80272
,,,,,12/1/98,4.481,,2006-10-01,4.74751
,,,,,1/1/99,4.396,,2007-01-01,4.7579
,,,,,2/1/99,4.487,,2007-04-01,4.79298
,,,,,3/1/99,4.702,,2007-07-01,4.77051
,,,,,4/1/99,4.419,,2007-10-01,4.66563
,,,,,5/1/99,4.514,,2008-01-01,4.51371
,,,,,6/1/99,4.666,,2008-04-01,4.57105
,,,,,7/1/99,4.658,,2008-07-01,4.56605
,,,,,8/1/99,4.775,,2008-10-01,4.38874
,,,,,9/1/99,4.94,,2009-01-01,4.22139
