#NAME?,FTSE Nareit ALL REITS $ - PRICE INDEX,FTSE Nareit ALL EQUITY REITS $ - PRICE INDEX,,,#NAME?,FTSE Nareit ALL REITS $ - TOT RETURN IND,FTSE Nareit ALL EQUITY REITS $ - TOT RETURN IND,FTSE Nareit ALL RES. CAP - TOT RETURN IND
Code,NARALL$,NAREQU$,,,Code,NARALL$(RI),NAREQU$(RI),FEALRCL(RI)
Q3 2001,98.4,284.9,,,Q3 2001,1455.03,3345.85,NA
Q4 2001,94.15,272.11,,,Q4 2001,1419.38,3255.89,NA
Q1 2002,97.07,280.4,,,Q1 2002,1494.65,3421.37,NA
Q2 2002,103.77,299.47,,,Q2 2002,1623.59,3713.89,NA
Q3 2002,106.1,305.22,,,Q3 2002,1689.45,3847.84,NA
Q4 2002,95.99,275.33,,,Q4 2002,1556.47,3531.2,NA
Q1 2003,94.98,271.66,,,Q1 2003,1572.61,3552.1,NA
Q2 2003,95.84,273.88,,,Q2 2003,1617.13,3648.41,NA
Q3 2003,106.17,301.05,,,Q3 2003,1823.17,4076.16,NA
Q4 2003,114.06,324.84,,,Q4 2003,1989.23,4468.51,NA
Q1 2004,122.85,349.02,,,Q1 2004,2177.53,4871.12,NA
Q2 2004,137.6,389.15,,,Q2 2004,2472.29,5505.88,NA
Q3 2004,125.61,358.56,,,Q3 2004,2291.36,5146.64,NA
Q4 2004,136.21,389.15,,,Q4 2004,2518.81,5659.76,NA
Q1 2005,149.08,428.62,,,Q1 2005,2805.31,6330.64,NA
Q2 2005,137.55,398.07,,,Q2 2005,2619.71,5951.71,NA
Q3 2005,155.71,454.78,,,Q3 2005,3004.83,6881.22,NA
Q4 2005,155.66,463.5,,,Q4 2005,3046,7104.99,NA
Q1 2006,154.73,462.98,,,Q1 2006,3075.06,7188.85,NA
Q2 2006,171.05,515.41,,,Q2 2006,3439.43,8094.45,NA
Q3 2006,172.51,518.07,,,Q3 2006,3510.77,8225.18,NA
Q4 2006,182.77,552.41,,,Q4 2006,3760.45,8858.2,NA
Q1 2007,198.53,599.59,,,Q1 2007,4131.39,9709.31,NA
Q2 2007,202.46,620.62,,,Q2 2007,4251.47,10138.35,NA
Q3 2007,185.74,568.5,,,Q3 2007,3942.01,9378.68,NA
Q4 2007,183.11,573.06,,,Q4 2007,3930.37,9552.18,NA
Q1 2008,156.07,485.36,,,Q1 2008,3394.71,8185.75,NA
Q2 2008,161.99,512.72,,,Q2 2008,3568.3,8751.1,NA
Q3 2008,144.05,458.06,,,Q3 2008,3217.48,7918.64,NA
Q4 2008,144.78,464.89,,,Q4 2008,3280.09,8138.22,NA
Q1 2009,92.02,285.79,,,Q1 2009,2127.27,5097.46,NA
Q2 2009,62.8,189.32,,,Q2 2009,1480.38,3439.78,727.04
Q3 2009,80.4,245.69,,,Q3 2009,1927.16,4530.43,913.39
Q4 2009,98.84,305.81,,,Q4 2009,2398.77,5699.16,1124.64
Q1 2010,110.33,346.6,,,Q1 2010,2711.15,6524.25,1296.42
Q2 2010,119.99,378.96,,,Q2 2010,2983.3,7208.09,1407.2
Q3 2010,113.56,357.98,,,Q3 2010,2856.67,6875.45,1422.83
Q4 2010,126.95,403.14,,,Q4 2010,3230.7,7817.58,1621.54
Q1 2011,136.94,435.3,,,Q1 2011,3524.77,8519.79,1744.58
Q2 2011,142.26,455.35,,,Q2 2011,3700.04,8991.27,1847.11
Q3 2011,147.14,472.09,,,Q3 2011,3870.08,9405.24,1943.82
Q4 2011,116.03,371.48,,,Q4 2011,3089.49,7471.41,1662.29
Q1 2012,137.57,444.96,,,Q1 2012,3710.61,9039.07,1999.56
Q2 2012,151.37,490.99,,,Q2 2012,4125.88,10058.59,2133.69
Q3 2012,157,507.79,,,Q3 2012,4327.99,10495.16,2241.42
Q4 2012,155.63,499.95,,,Q4 2012,4335.94,10419.6,2177.51
Q1 2013,158.18,514.43,,,Q1 2013,4458.1,10819.84,2279.84
Q2 2013,171.18,552.91,,,Q2 2013,4873.66,11726,2463.22
Q3 2013,162.66,532.84,,,Q3 2013,4680.89,11399.72,2436.75
Q4 2013,159.89,523.75,,,Q4 2013,4650.65,11308.63,2359.05
Q1 2014,156.35,510.33,,,Q1 2014,4601.14,11128.83,2208.94
Q2 2014,168.73,551.08,,,Q2 2014,5017.68,12128,2485.95
Q3 2014,178.35,584.63,,,Q3 2014,5359.91,12985.01,2673.7
Q4 2014,171.49,563.13,,,Q4 2014,5208.4,12622.77,2586.87
Q1 2015,190.65,629.96,,,Q1 2015,5850.23,14247.97,2994.79
Q2 2015,196.46,649.14,,,Q2 2015,6085.62,14804.76,3177.44
Q3 2015,179.55,593.44,,,Q3 2015,5622.2,13665.71,2957.03
Q4 2015,177.18,587.54,,,Q4 2015,5610.23,13665.48,3110.82
Q1 2016,186.93,623.76,,,Q1 2016,5984.18,14650.51,3349.69
Q2 2016,196.01,654.87,,,Q2 2016,6334.23,15508.77,3527.59
Q3 2016,208.45,697.27,,,Q3 2016,6807.46,16673.32,3650.03
Q4 2016,200.83,670.5,,,Q4 2016,6624.52,16177.84,3509.44
Q1 2017,196.21,653.48,,,Q1 2017,6539.68,15914.73,3457.39
Q2 2017,200.22,664.51,,,Q2 2017,6742.44,16339.48,3562.67
Q3 2017,204.88,679.56,,,Q3 2017,6973.31,16878.14,3744.56
Q4 2017,202.71,671.72,,,Q4 2017,6970.01,16839.95,3635.46
Q1 2018,205.57,683.05,,,Q1 2018,7145.73,17295.16,3607.54
Q2 2018,187.29,622.52,,,Q2 2018,6583.04,15925.63,3340.07
Q3 2018,202.35,673.97,,,Q3 2018,7193.52,17425.01,3712.29
Q4 2018,201.25,670.16,,,Q4 2018,7232.9,17499.39,3724.42
Q1 2019,188.43,628.75,,,Q1 2019,6852.72,16595.65,3771.35
Q2 2019,217.66,729.36,,,Q2 2019,7996.61,19432.08,4298.13
Q3 2019,218.56,733.76,,,Q3 2019,8116.86,19739.86,4469.49
Q4 2019,230.57,778.14,,,Q4 2019,8644.83,21122.74,4882.4
Q1 2020,231.68,779.34,,,Q1 2020,8776.18,21352.44,4715
Q2 2020,159.22,551.27,,,Q2 2020,6096.25,15255.93,3241.82
Q3 2020,197.23,679.13,,,Q3 2020,7625.42,18961.11,3968.64
Q4 2020,197.82,678.78,,,Q4 2020,7716.23,19109.44,4048.54
Q1 2021,209.94,713.86,,,Q1 2021,8261.85,20258.86,4413.73
Q2 2021,230.16,782.2,,,Q2 2021,9129.13,22359.59,4945.94
