Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q1 2003,1.09,3/31/03,310.344,1.09,1.219,301.992,473.16,1.33,160.4061,,Q4 1996,2.61,5.83,495.0853,2.86,,,,,,,,,,,,,,,,,,,,,,,
Q2 2003,0.84,6/30/03,313.421,0.84,1.127,304.82,474.66,1.19,160.8948,,Q1 1997,2.34,0.35,506.6703,2.85,,,,,,,,,,,,,,,,,,,,,,,
Q3 2003,0.93,9/30/03,323.591,0.93,0.897,311.771,476.07,1.06,161.355,,Q2 1997,2.82,5.23,520.9584,3.61,,,,,,,,,,,,,,,,,,,,,,,
Q4 2003,0.91,12/31/03,318.58,0.91,0.948,310.694,477.38,1.08,161.7834,,Q3 1997,3.38,6.53,538.5668,3.62,,,,,,,,,,,,,,,,,,,,,,,
Q1 2004,0.93,3/31/04,314.146,0.93,0.927,308.413,478.74,1.11,162.2281,,Q4 1997,4.7,7.34,563.8794,4.24,,,,,,,,,,,,,,,,,,,,,,,
Q2 2004,1.3,6/30/04,327.094,1.3,0.932,316.876,480.02,1.06,162.6463,,Q1 1998,4.13,9.7,587.1676,3.81,,,,,,,,,,,,,,,,,,,,,,,
Q3 2004,1.68,9/30/04,314.042,1.68,1.208,307.929,481.53,1.54,163.1391,,Q2 1998,4.19,2.47,611.77,5.02,,,,,,,,,,,,,,,,,,,,,,,
Q4 2004,2.18,12/31/04,326.709,2.18,1.68,315.201,483.62,1.99,163.8292,,Q3 1998,3.47,-4.96,632.9984,3.83,,,,,,,,,,,,,,,,,,,,,,,
Q1 2005,2.73,3/31/05,329.341,2.73,2.206,315.41,486.46,2.55,164.774,,Q4 1998,3.55,6.57,655.4698,2.84,,,,,,,,,,,,,,,,,,,,,,,
Q2 2005,3.06,6/30/05,326.402,3.06,2.766,311.451,489.78,3.03,165.8823,,Q1 1999,2.59,2.91,672.4465,3.01,,,,,,,,,,,,,,,,,,,,,,,
